"CompoundName","PredProbability"
"(3R,2'S)-myxol 2'-fucoside",1
"(3S,2'S)-4-ketomyxol 2'-fucoside",1
"Microviridin G",1
"Microviridin H",1
"NOD-Har",1
"Nodulapeptin 867",0.968505986465382
"Nodulapeptin 865",0.968261964735517
"Hassallidin A",0.968126272912423
"Anabaenopeptin NZ857",0.967498699947998
"Laxaphycin B",0.967282924802659
"Schizopeptin 791",0.966707768187423
"Laxaphycin B2",0.966617210682493
"Nostocyclopeptide Ncp-E3",0.959357923497268
"Nostopeptolide A1",0.957507557944239
"Nostopeptolide A3",0.957507557944239
"Hormothamnin A",0.956186241171854
"Laxaphycin A",0.956186241171854
"Anabaenopeptin 857",0.955572675911659
"Anabaenopeptin NZ841",0.955572675911659
"Nodulapeptin B",0.955464612421762
"Nodulapeptin 863",0.954793840039742
"Nodulapeptin 915a",0.954319761668322
"Nodulapeptin 855b",0.953389830508474
"Anabaenopeptin J",0.950879320800485
"Nostocyclopeptide Ncp-E1",0.950879320800485
"Laxaphycin B3",0.950414057766108
"Trichormamide C",0.948720615768671
"Nostocyclopeptide Ncp-E2",0.948345712356516
"Anabaenopeptin 871",0.941982071713148
"Nodulapeptin A",0.94140989729225
"Lobocyclamide C",0.93711467324291
"Laxaphycin A2",0.935897435897436
"[D-Val9]Laxaphycin A",0.935170807453416
"Nodulapeptin 883c",0.933009708737864
"Nodulapeptin 821",0.932933478735005
"Namalide B",0.931315483119907
"Laxaphycin E",0.930597014925373
"Nodulapeptin 849",0.929941002949852
"Namalide C",0.929706601466993
"Nostamide A",0.92932067932068
"Nodulapeptin 851",0.929187817258883
"Laxaphycin B4",0.928323029366306
"Hoiamide D",0.92770628311885
"Anabaenopeptin 931",0.927193828351012
"Aeruginosin NOL4",0.926666666666667
"Lobocyclamide A",0.926381145463761
"Aeruginosin NAL3",0.925717213114754
"Anabaenopeptin 802",0.924971031286211
"Anabaenopeptin 807",0.924971031286211
"Nodularin-R",0.923342175066313
"[6(Z)-Adda3]NOD-R",0.923342175066313
"Microviridin I",0.922635135135135
"Aeruginosin NOL2",0.921910112359551
"Aeruginosin NAL1",0.920875420875421
"Lyngbyaureidamide A",0.920194647201946
"Laxaphycin D",0.918059190658345
"Lobocyclamide B",0.916814333530223
"Anabaenopeptin NZ825",0.915707853926964
"Nodulapeptin 823",0.915570752235666
"Nodulapeptin 807",0.91512513601741
"Anachelin-H",0.914680050188206
"Radiosumin B",0.913498098859316
"Scytonemide A",0.903796653796654
"Anabaenopeptin SA6",0.899945622620989
"Radiosumin",0.897683397683398
"[D-Asp1]NOD-R",0.894200626959248
"Hassallidin B",0.891694915254237
"[Glu4(OMe)]NOD-R",0.889447236180904
"Microviridin N1",0.889347258485639
"[dhb5]NOD-R",0.887247278382582
"Anabaenopeptin SA7",0.886259541984733
"Micropeptin C",0.880831482069184
"Anabaenopeptin SA5",0.879496402877698
"Loggerpeptin B",0.87781214848144
"Aeruginosin NOL1",0.877665544332211
"Micropeptin KR998",0.875891121192482
"Spumigin B1",0.869721473495058
"Spumigin B2",0.869721473495058
"Nodulapeptin 899",0.869555843035791
"Trichormamide D",0.869165170556553
"Cyanopeptolin CP985",0.868326822916667
"Spumigin F",0.868075117370892
"Micropeptin D",0.867315885575167
"Anabaenopeptin MM823",0.866471215351812
"Spumigin H",0.865554465161924
"[DMAdda3]NOD-R",0.863086232980333
"Loggerpeptin A",0.862237509051412
"[D-MeAbu]NOD-R",0.859506172839506
"[L-MeAbu]NOD-R",0.859506172839506
"Oscillatoxin",0.858397365532382
"Pseudoaeruginosin NS1",0.858397365532382
"Pseudoaeruginosin NS2",0.858397365532382
"Lyngbyacyclamide A",0.856125356125356
"Lyngbyacyclamide B",0.855909811520169
"N-methylpalythine",0.855029585798816
"Spumigin A",0.854561878952123
"Muscotoxin B",0.853330291970803
"Anabaenopeptin 848",0.853164556962025
"Spumigin 582b",0.853163361661945
"Anabaenopeptin SA8",0.853153586904189
"Cyanopeptolin 997 A",0.851447979978548
"Nodularin-V",0.850313479623825
"Micropeptin KT1042",0.849697885196375
"Spumigin 652",0.848827470686767
"Micropeptin T1",0.847457627118644
"Nodulapeptin 883b",0.84735269000854
"Anabaenopeptin 863a",0.847160493827161
"Micropeptin DR1056",0.845446455057846
"Nodulapeptin 885",0.845206684256816
"Trichormamide B",0.845139743364387
