"Strain","maxProb","minProb","meanProb","medianProb","count"
"NIES-26",1,1,1,1,2
"PCC 7120",1,1,1,1,2
"PCC7804",1,1,1,1,1
"n.a.",0.968505986465382,0,0.456092771222158,0.399665551839465,1115
"TAU NZ-3-1",0.967498699947998,0.915707853926964,0.946259743262207,0.955572675911659,3
"IL-208-2-2",0.966707768187423,0.966707768187423,0.966707768187423,0.966707768187423,1
"CCNP1411",0.959357923497268,0.17507777393709,0.763777870268541,0.862609338262948,6
"GSV 224",0.957507557944239,0.297901150981719,0.475711430888615,0.322368421052632,39
"CENA352",0.955572675911659,0.941982071713148,0.948777373812403,0.948777373812403,2
"AV1",0.955464612421762,0.818866253321524,0.886207570527314,0.869721473495058,17
"NIES-81",0.950879320800485,0.842120181405896,0.89649975110319,0.89649975110319,2
"UIC 10045",0.948720615768671,0.869165170556553,0.908942893162612,0.908942893162612,2
"BY1",0.932933478735005,0.927193828351012,0.930063653543009,0.930063653543009,2
"CCNP1402",0.932933478735005,0.927193828351012,0.930063653543009,0.930063653543009,2
"CCNP1427",0.932933478735005,0.932933478735005,0.932933478735005,0.932933478735005,1
"CCNP1436",0.932933478735005,0.932933478735005,0.932933478735005,0.932933478735005,1
"KAC7",0.932933478735005,0.932933478735005,0.932933478735005,0.932933478735005,1
"KAC71",0.932933478735005,0.932933478735005,0.932933478735005,0.932933478735005,1
"ITEP-24",0.931315483119907,0.929706601466993,0.93051104229345,0.93051104229345,2
"PCC7310",0.92932067932068,0.92932067932068,0.92932067932068,0.92932067932068,1
"KAC70",0.929187817258883,0.91512513601741,0.919961235170653,0.915570752235666,3
"KAC87",0.929187817258883,0.91512513601741,0.919961235170653,0.915570752235666,3
"[Brasilonema]CENA360",0.924971031286211,0.924971031286211,0.924971031286211,0.924971031286211,1
"[Desmonostoc]CENA382",0.924971031286211,0.924971031286211,0.924971031286211,0.924971031286211,1
"KAC 11",0.924971031286211,0.796221864951768,0.843596361572456,0.826596275025923,4
"18",0.922635135135135,0.922635135135135,0.922635135135135,0.922635135135135,1
"2",0.922635135135135,0.922635135135135,0.922635135135135,0.922635135135135,1
"CY9414 and CH307",0.921910112359551,0.877665544332211,0.899787828345881,0.899787828345881,2
"SAG 36.9",0.920194647201946,0.0454079014879425,0.482801274344944,0.482801274344944,2
"UTEX 1834",0.903796653796654,0.757695895522388,0.830746274659521,0.830746274659521,2
"CBT599",0.899945622620989,0.899945622620989,0.899945622620989,0.899945622620989,1
"NIES-515",0.897683397683398,0.897683397683398,0.897683397683398,0.897683397683398,1
"CBT158",0.886259541984733,0.169330453563715,0.636247860817545,0.853153586904189,3
